id,name,latitude,longitude
1,Warszawa,52.2297,21.0122
2,Berlin,52.52,13.405
3,Londyn,51.5074,-0.1278
4,Paryz,48.8566,2.3522
5,Madryt,40.4168,-3.7038
6,Rzym,41.9028,12.4964
7,Ateny,37.9838,23.7275
8,Sztokholm,59.3293,18.0686
9,Helsinki,60.1695,24.9354
10,Oslo,59.9139,10.7522
11,Amsterdam,52.3676,4.9041
12,Bruksela,50.8503,4.3517
13,Wieden,48.2082,16.3738
14,Praga,50.0755,14.4378
15,Budapeszt,47.4979,19.0402
16,Lizbona,38.7223,-9.1393
17,Dublin,53.3498,-6.2603
18,Kopenhaga,55.6761,12.5683
19,Moskwa,55.7558,37.6173
20,Zurych,47.3769,8.5417
